R_fighter,B_fighter,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,weight_dif
James Krause,Valmir Lazaro,2/28/2015,"Los Angeles, California, USA",USA,Blue,False,Lightweight,MALE,3,0,91.0,0.39,0.0,4.0,0.4,1,3,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,155,0,49.5,0.42,0.25,0.25,0.12,2,8,0,0,0,0,1,1,0,2,Orthodox,187.96,185.42,170,28,29,0,0,-1,-2,1,-5,0,-1,-1,-5.08,0.0,-1,41.5,-0.25,3.75,neither,S-DEC,blank,3.0,5:00,900.0,15
Masio Fullen,Alex Torres,2/28/2015,"Los Angeles, California, USA",USA,Red,False,Featherweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,0,27.4,0.45,0.52,1.34,0.33,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,28,26,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0.0,0.0,0.0,neither,S-DEC,blank,3.0,5:00,900.0,0
Antonio Silva,Frank Mir,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Blue,False,Heavyweight,MALE,5,0,12.52,0.5,0.91,0.87,0.3,9,37,5,0,0,2,3,8,0,14,Southpaw,190.5,200.66,264,0,23.5,0.5,0.0,0.0,0.0,4,12,1,0,0,0,2,0,0,2,Orthodox,193.04,203.2,264,35,35,-1,0,2,12,-5,25,4,1,8,-2.54,-2.54,0,-10.98,0.91,0.87,Red,KO/TKO,Punch,1.0,1:40,100.0,0
Edson Barboza,Michael Johnson,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Blue,False,Lightweight,MALE,3,0,38.64,0.36,0.0,0.45,0.3,4,27,1,0,0,4,3,0,0,7,Southpaw,177.8,185.42,145,0,37.45,0.47,0.09,0.36,0.18,2,24,0,1,1,2,5,0,0,9,Orthodox,180.34,190.5,155,29,28,0,1,-1,-2,-2,3,1,-2,0,-2.54,-5.08,1,1.18,-0.09,0.09,Red,U-DEC,blank,3.0,5:00,900.0,10
Cezar Ferreira,Sam Alvey,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Blue,False,Middleweight,MALE,3,0,44.0,0.67,0.0,0.0,0.0,1,4,0,0,0,0,1,0,0,1,Southpaw,187.96,190.5,205,0,16.6,0.39,0.2,1.0,0.25,1,11,1,0,1,2,0,1,0,4,Southpaw,185.42,198.12,185,30,28,0,0,-2,-3,0,-7,-1,1,-1,2.54,-7.62,2,27.4,-0.2,-1.0,neither,KO/TKO,Punches,1.0,3:34,214.0,-20
Rustam Khabilov,Adriano Martins,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Blue,False,Lightweight,MALE,3,0,12.67,0.51,0.33,0.33,0.33,1,4,0,0,0,0,1,1,0,2,Southpaw,177.8,182.88,155,0,16.5,0.35,0.25,3.5,0.53,1,9,0,0,0,1,1,0,1,3,Orthodox,172.72,185.42,155,28,32,1,1,-2,-1,0,-5,0,-1,1,5.08,-2.54,-4,-3.83,0.08,-3.17,Red,S-DEC,blank,3.0,5:00,900.0,0
Iuri Alcantara,Frankie Saenz,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Blue,False,Bantamweight,MALE,3,0,67.0,0.51,0.0,5.0,0.55,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,167.64,135,0,24.67,0.48,0.56,1.33,0.46,3,21,0,0,1,3,2,0,0,6,Southpaw,175.26,180.34,135,34,34,0,-2,-2,-5,3,-18,0,-2,0,-7.62,-12.7,0,42.33,-0.56,3.67,Red,U-DEC,blank,3.0,5:00,900.0,0
Santiago Ponzinibbio,Sean Strickland,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Red,False,Welterweight,MALE,3,0,34.0,0.43,0.5,1.0,0.41,0,4,0,0,1,0,0,1,0,2,Orthodox,185.42,193.04,170,0,17.5,0.34,0.0,0.0,0.0,1,4,0,0,0,0,1,0,0,1,Orthodox,182.88,185.42,170,28,23,0,1,1,1,1,0,0,-1,1,2.54,7.62,5,16.5,0.5,1.0,neither,U-DEC,blank,3.0,5:00,900.0,0
Jessica Andrade,Marion Reneau,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Blue,False,Women's Bantamweight,FEMALE,3,0,85.0,0.38,0.0,0.0,0.0,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,135,0,75.25,0.61,0.75,1.5,0.72,1,9,0,0,1,1,0,1,0,3,Orthodox,154.94,157.48,115,23,37,0,-2,-2,-2,1,-6,0,0,-1,12.7,15.24,-14,9.75,-0.75,-1.5,Red,SUB,Triangle Choke,1.0,1:54,114.0,-20
William Patolino,Matt Dwyer,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Blue,False,Welterweight,MALE,3,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,170,0,64.0,0.52,0.0,1.67,0.33,2,8,1,0,0,1,0,0,0,1,Orthodox,180.34,190.5,170,23,25,0,0,-1,-1,1,-7,-1,0,0,12.7,2.54,-2,-64.0,0.0,-1.67,neither,DQ,blank,1.0,5:00,300.0,0
Tiago Trator,Mike de la Torre,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Blue,False,Featherweight,MALE,3,0,31.5,0.43,0.0,0.5,0.25,2,4,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,145,0,62.0,0.38,0.0,0.0,0.0,0,3,0,0,0,1,0,0,0,1,Orthodox,175.26,177.8,145,27,28,-2,-1,-1,-1,-2,1,0,0,0,5.08,2.54,-1,-30.5,0.0,0.5,neither,DQ,blank,1.0,5:00,300.0,0
Douglas Silva de Andrade,Cody Gibson,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Red,False,Bantamweight,MALE,3,0,23.33,0.37,0.33,1.67,0.39,2,6,0,0,0,0,1,0,0,1,Orthodox,177.8,180.34,135,0,27.0,0.27,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,135,29,27,0,0,1,1,-1,3,0,1,0,7.62,7.62,2,-3.67,0.33,1.67,neither,U-DEC,blank,3.0,5:00,900.0,0
Ivan Jorge,Josh Shockley,2/22/2015,"Porto Alegre, Rio Grande do Sul, Brazil",Brazil,Red,False,Lightweight,MALE,3,0,6.0,0.5,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,155,0,66.0,0.56,0.5,1.0,0.1,1,6,0,0,0,1,0,0,0,1,Orthodox,175.26,185.42,155,34,25,0,0,-1,-1,0,-5,0,0,0,10.16,2.54,9,-60.0,0.5,-1.0,neither,U-DEC,blank,3.0,5:00,900.0,0
Benson Henderson,Brandon Thatch,2/14/2015,"Broomfield, Colorado, USA",USA,Red,False,Welterweight,MALE,5,0,14.5,0.54,0.0,0.5,0.5,0,2,0,0,0,0,2,0,0,2,Switch,187.96,187.96,170,0,56.92,0.46,0.75,2.17,0.42,3,43,5,0,3,5,0,1,0,9,Southpaw,175.26,177.8,170,31,29,2,2,-5,-7,3,-41,-5,2,-1,12.7,10.16,2,-42.42,-0.75,-1.67,neither,SUB,Rear Naked Choke,4.0,3:58,1138.0,0
Max Holloway,Cole Miller,2/14/2015,"Broomfield, Colorado, USA",USA,Red,False,Featherweight,MALE,3,0,30.75,0.33,1.44,0.31,0.15,6,34,0,0,0,2,1,7,0,10,Orthodox,185.42,187.96,145,0,65.2,0.41,0.2,0.0,0.0,3,24,0,0,1,1,4,1,0,7,Orthodox,180.34,175.26,155,23,30,0,-2,-2,3,-3,10,0,-3,6,5.08,12.7,-7,-34.45,1.24,0.31,Red,U-DEC,blank,3.0,5:00,900.0,10
Neil Magny,Kiichi Kunimoto,2/14/2015,"Broomfield, Colorado, USA",USA,Red,False,Welterweight,MALE,3,0,17.67,0.47,0.33,0.67,0.14,0,5,0,0,1,0,0,1,0,3,Orthodox,177.8,180.34,170,0,42.12,0.43,0.0,2.25,0.51,2,21,0,0,0,4,2,0,0,6,Orthodox,190.5,203.2,170,27,33,0,-2,-2,-3,2,-16,0,-2,1,-12.7,-22.86,-6,-24.46,0.33,-1.58,neither,SUB,Rear Naked Choke,3.0,1:22,682.0,0
Daniel Kelly,Patrick Walsh,2/14/2015,"Broomfield, Colorado, USA",USA,Red,False,Middleweight,MALE,3,0,11.0,0.45,3.0,5.0,0.71,0,3,0,0,0,1,0,0,0,1,Southpaw,180.34,180.34,185,0,25.0,0.52,1.0,1.0,0.5,0,1,0,0,0,0,0,1,0,1,Southpaw,182.88,177.8,185,37,26,0,0,0,0,0,2,0,0,-1,-2.54,2.54,11,-14.0,2.0,4.0,neither,U-DEC,blank,3.0,5:00,900.0,0
Michel Prazeres,Kevin Lee,2/14/2015,"Broomfield, Colorado, USA",USA,Blue,False,Lightweight,MALE,3,0,54.0,0.39,0.67,3.0,0.3,1,9,0,0,1,1,0,0,0,2,Orthodox,175.26,195.58,170,0,28.0,0.48,0.0,4.33,0.33,1,9,0,0,1,1,0,0,0,2,Orthodox,167.64,170.18,170,33,22,0,0,0,0,0,0,0,0,0,7.62,25.4,11,26.0,0.67,-1.33,neither,U-DEC,blank,3.0,5:00,900.0,0
Ray Borg,Chris Kelades,2/14/2015,"Broomfield, Colorado, USA",USA,Red,False,Flyweight,MALE,3,0,50.0,0.58,1.0,2.0,0.4,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,125,0,7.0,0.55,2.0,3.0,0.81,1,4,0,0,0,0,0,1,0,1,Orthodox,162.56,160.02,135,21,33,0,0,0,0,1,-1,0,0,-1,7.62,12.7,-12,43.0,-1.0,-1.0,neither,SUB,Kimura,3.0,2:56,776.0,10
Efrain Escudero,Rodrigo de Lima,2/14/2015,"Broomfield, Colorado, USA",USA,Red,False,Lightweight,MALE,3,0,5.0,0.35,2.0,1.0,0.33,1,2,0,0,0,0,0,0,0,0,Orthodox,170.18,190.5,155,0,30.75,0.37,0.88,1.0,0.23,5,22,1,0,0,2,1,0,0,3,Orthodox,175.26,177.8,155,29,23,3,0,-2,-3,4,-20,-1,-1,0,-5.08,12.7,6,-25.75,1.12,0.0,neither,U-DEC,blank,3.0,5:00,900.0,0
Chas Skelly,Jim Alers,2/14/2015,"Broomfield, Colorado, USA",USA,Red,False,Featherweight,MALE,3,0,36.0,0.38,0.0,2.0,0.4,0,3,0,0,1,0,0,0,0,1,Orthodox,175.26,180.34,145,0,11.33,0.25,2.67,1.67,0.52,1,7,0,0,0,1,0,1,0,2,Orthodox,180.34,182.88,145,29,28,0,-1,-1,-1,1,-4,0,0,-1,-5.08,-2.54,1,24.67,-2.67,0.33,neither,KO/TKO,Punches,2.0,4:59,599.0,0
Zach Makovsky,Tim Elliott,2/14/2015,"Broomfield, Colorado, USA",USA,Red,False,Flyweight,MALE,3,0,59.0,0.5,1.4,3.6,0.6,3,13,0,0,0,2,0,0,0,2,Southpaw,170.18,167.64,135,0,28.33,0.4,0.33,4.0,0.44,1,9,0,0,0,2,0,0,0,2,Southpaw,162.56,162.56,125,31,28,-1,0,0,0,-2,4,0,0,0,7.62,5.08,3,30.67,1.07,-0.4,Red,U-DEC,blank,3.0,5:00,900.0,-10
James Moontasri,Cody Pfister,2/14/2015,"Broomfield, Colorado, USA",USA,Red,False,Lightweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,0,35.0,0.52,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Switch,177.8,180.34,170,26,24,1,0,0,0,1,-3,0,0,0,0.0,5.08,2,-35.0,0.0,0.0,neither,SUB,Rear Naked Choke,2.0,1:49,409.0,15
Tyron Woodley,Kelvin Gastelum,1/31/2015,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,37.4,0.45,0.4,1.2,0.4,0,11,1,0,2,1,0,2,0,5,Southpaw,175.26,180.34,185,0,25.0,0.6,0.0,0.5,0.17,2,11,0,0,0,0,4,0,0,4,Orthodox,175.26,187.96,170,32,23,0,4,3,1,2,0,1,-4,2,0.0,-7.62,9,12.4,0.4,0.7,Red,S-DEC,blank,3.0,5:00,900.0,-15
Joe Lauzon,Al Iaquinta,1/31/2015,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,51.29,0.46,0.43,1.0,0.32,2,17,1,0,0,3,2,0,0,5,Orthodox,177.8,177.8,155,0,17.65,0.42,1.53,1.35,0.41,6,33,0,0,0,1,2,7,1,11,Orthodox,177.8,180.34,155,30,27,0,0,0,-6,4,-16,1,-1,-7,0.0,-2.54,3,33.64,-1.1,-0.35,neither,KO/TKO,Punches,2.0,3:34,514.0,0
Thales Leites,Tim Boetsch,1/31/2015,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,28.8,0.51,0.73,1.27,0.2,6,36,0,0,2,3,4,0,0,9,Orthodox,182.88,187.96,185,0,21.42,0.41,1.08,1.92,0.31,3,29,1,0,1,3,2,3,0,9,Orthodox,185.42,198.12,185,33,34,0,-3,-1,0,-3,7,-1,2,-3,-2.54,-10.16,-1,7.38,-0.35,-0.65,Red,SUB,Arm Triangle,2.0,3:45,525.0,0
Jordan Mein,Thiago Alves,1/31/2015,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,0,38.39,0.47,0.28,0.61,0.33,6,43,1,0,0,4,6,1,1,12,Orthodox,175.26,177.8,170,0,27.25,0.54,0.0,1.0,0.25,1,7,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,25,31,0,-1,5,9,-5,36,1,5,1,-7.62,-7.62,-6,11.14,0.28,-0.39,Red,KO/TKO,Kick,2.0,0:39,339.0,0
Miesha Tate,Sara McMann,1/31/2015,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,0,19.67,0.67,0.0,2.33,0.52,1,5,1,0,1,0,1,0,0,2,Orthodox,167.64,167.64,135,0,32.25,0.49,1.25,1.5,0.28,2,12,1,0,0,2,0,0,0,2,Orthodox,167.64,165.1,135,28,34,0,-1,-1,0,1,-7,0,1,0,0.0,2.54,-6,-12.58,-1.25,0.83,Red,M-DEC,blank,3.0,5:00,900.0,0
Ed Herman,Derek Brunson,1/31/2015,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,23.0,0.4,0.75,2.75,0.31,1,10,0,0,0,2,0,1,0,3,Southpaw,185.42,195.58,185,0,27.69,0.53,0.81,1.88,0.49,7,36,1,0,1,2,2,4,0,9,Orthodox,185.42,195.58,205,34,31,0,0,-1,-6,6,-26,-1,-2,-3,0.0,0.0,3,-4.69,-0.06,0.88,neither,KO/TKO,Punch,1.0,0:36,36.0,20
Ian McCall,John Lineker,1/31/2015,"Las Vegas, Nevada, USA",USA,Blue,False,Flyweight,MALE,3,0,60.29,0.42,0.29,0.57,0.21,2,16,0,0,0,1,4,0,0,5,Orthodox,160.02,170.18,135,0,61.2,0.41,0.0,2.0,0.28,3,15,0,0,0,2,0,0,0,2,Orthodox,165.1,162.56,125,30,24,0,-1,2,3,1,1,0,4,0,-5.08,7.62,6,-0.91,0.29,-1.43,Red,U-DEC,blank,3.0,5:00,900.0,-10
Rafael Natal,Tom Watson,1/31/2015,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,57.8,0.47,0.0,0.0,0.0,3,14,0,0,0,1,1,0,0,2,Orthodox,185.42,185.42,185,0,37.18,0.48,0.64,2.09,0.28,5,30,0,0,1,4,0,1,0,6,Orthodox,182.88,193.04,185,32,32,0,0,-2,-4,2,-16,0,1,-1,2.54,-7.62,0,20.62,-0.64,-2.09,neither,U-DEC,blank,3.0,5:00,900.0,0
Richardson Moreira,Ildemar Alcantara,1/31/2015,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,29.4,0.44,1.2,2.6,0.75,2,14,0,0,1,1,0,1,0,3,Orthodox,187.96,198.12,185,0,3.0,0.75,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,Orthodox,187.96,182.88,185,30,32,0,0,2,3,-1,13,0,0,1,0.0,15.24,-2,26.4,1.2,2.6,neither,S-DEC,blank,3.0,5:00,900.0,0
Thiago Santos,Andy Enz,1/31/2015,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,0,55.5,0.24,0.0,0.0,0.0,2,6,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,185,0,17.0,0.26,0.0,0.0,0.0,2,5,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,205,31,23,-1,0,-1,-1,0,1,0,-1,0,2.54,5.08,8,38.5,0.0,0.0,neither,KO/TKO,Punches,1.0,1:56,116.0,20
Alexander Gustafsson,Anthony Johnson,1/24/2015,"Stockholm, Sweden",Sweden,Blue,False,Light Heavyweight,MALE,5,0,20.46,0.47,0.38,1.15,0.26,4,23,0,0,0,2,7,0,0,9,Orthodox,187.96,198.12,205,0,36.4,0.36,0.5,1.2,0.33,2,21,1,0,0,2,4,2,0,8,Orthodox,195.58,200.66,205,28,30,0,1,-3,1,-2,2,-1,3,-2,-7.62,-2.54,-2,-15.94,-0.12,-0.05,Red,KO/TKO,Punches,1.0,2:15,135.0,0
Dan Henderson,Gegard Mousasi,1/24/2015,"Stockholm, Sweden",Sweden,Blue,False,Middleweight,MALE,3,0,40.0,0.48,0.5,0.0,0.0,2,12,0,0,0,1,0,1,0,2,Orthodox,187.96,193.04,185,0,31.77,0.47,0.38,1.08,0.3,6,37,3,0,2,3,2,0,0,7,Orthodox,180.34,187.96,185,44,29,0,0,-3,-5,4,-25,-3,-2,1,7.62,5.08,15,8.23,0.12,-1.08,Blue,KO/TKO,Punch,1.0,1:10,70.0,0
Phil Davis,Ryan Bader,1/24/2015,"Stockholm, Sweden",Sweden,Blue,False,Light Heavyweight,MALE,3,0,26.67,0.4,0.33,2.6,0.29,4,35,1,0,0,7,3,1,0,11,Orthodox,187.96,187.96,205,0,37.5,0.41,0.5,2.58,0.4,3,32,0,0,0,6,0,3,0,9,Orthodox,187.96,200.66,205,30,31,0,2,0,2,-1,3,1,3,-2,0.0,-12.7,-1,-10.83,-0.17,0.02,Red,S-DEC,blank,3.0,5:00,900.0,0
Akira Corassani,Sam Sicilia,1/24/2015,"Stockholm, Sweden",Sweden,Blue,False,Featherweight,MALE,3,0,28.0,0.42,0.29,1.14,0.39,4,15,0,0,0,1,2,0,0,3,Orthodox,172.72,170.18,145,0,25.8,0.45,0.0,0.4,0.07,2,10,0,0,1,1,0,0,0,3,Orthodox,172.72,172.72,145,32,28,1,0,-2,0,-2,5,0,2,0,0.0,-2.54,4,2.2,0.29,0.74,neither,KO/TKO,Punch,1.0,3:26,206.0,0
Nico Musoke,Albert Tumenov,1/24/2015,"Stockholm, Sweden",Sweden,Blue,False,Welterweight,MALE,3,0,14.0,0.35,0.0,0.33,0.33,1,5,0,0,0,0,2,0,0,2,Orthodox,180.34,185.42,170,0,40.75,0.41,0.25,1.25,0.43,1,10,0,0,0,2,0,1,0,3,Orthodox,182.88,190.5,170,28,23,0,1,0,-1,0,-5,0,2,-1,-2.54,-5.08,5,-26.75,-0.25,-0.92,neither,DQ,blank,1.0,5:00,300.0,0
Kenny Robertson,Sultan Aliev,1/24/2015,"Stockholm, Sweden",Sweden,Red,False,Welterweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,187.96,170,0,32.33,0.57,0.83,1.0,0.41,3,13,0,0,0,1,0,2,0,3,Orthodox,177.8,187.96,170,30,30,0,-2,-2,-3,3,-13,0,0,-2,2.54,0.0,0,-32.33,-0.83,-1.0,neither,KO/TKO,Punch,1.0,2:42,162.0,0
Andy Ogle,Makwan Amirkhani,1/24/2015,"Stockholm, Sweden",Sweden,Blue,False,Featherweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,145,0,32.6,0.45,0.0,1.4,0.42,4,15,0,0,0,1,0,0,0,1,Orthodox,172.72,175.26,145,25,26,3,0,-1,-1,4,-15,0,0,0,5.08,7.62,-1,-32.6,0.0,-1.4,neither,KO/TKO,Punches,1.0,0:08,8.0,0
Nikita Krylov,Stanislav Nedkov,1/24/2015,"Stockholm, Sweden",Sweden,Red,False,Light Heavyweight,MALE,3,0,28.67,0.44,0.0,1.67,0.28,2,6,0,0,0,0,1,0,0,1,Orthodox,180.34,180.34,205,0,24.75,0.55,0.5,0.0,0.0,2,6,0,0,0,0,2,0,0,2,Orthodox,190.5,195.58,205,22,33,-2,-1,0,-1,0,0,0,-1,0,-10.16,-15.24,-11,3.92,-0.5,1.67,neither,SUB,Guillotine Choke,1.0,1:24,84.0,0
Mairbek Taisumov,Anthony Christodoulou,1/24/2015,"Stockholm, Sweden",Sweden,Red,False,Lightweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,0,22.67,0.52,0.0,1.67,0.24,1,7,0,0,0,1,1,0,0,2,Orthodox,175.26,185.42,155,26,27,0,-1,-1,-2,1,-7,0,-1,0,0.0,-2.54,-1,-22.67,0.0,-1.67,neither,KO/TKO,Punches,2.0,0:38,338.0,0
Mirsad Bektic,Paul Redmond,1/24/2015,"Stockholm, Sweden",Sweden,Red,False,Featherweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,0,27.0,0.3,0.0,2.0,0.5,0,3,0,1,0,0,0,0,0,1,Orthodox,172.72,177.8,145,23,28,0,-1,-1,-1,0,-3,0,0,0,5.08,0.0,-5,-27.0,0.0,-2.0,neither,U-DEC,blank,3.0,5:00,900.0,0
Viktor Pesta,Konstantin Erokhin,1/24/2015,"Stockholm, Sweden",Sweden,Red,False,Heavyweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,230,0,26.0,0.3,0.0,1.0,0.11,1,3,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,240,24,31,1,0,0,0,1,-3,0,0,0,-10.16,-10.16,-7,-26.0,0.0,-1.0,neither,U-DEC,blank,3.0,5:00,900.0,10
Neil Seery,Chris Beal,1/24/2015,"Stockholm, Sweden",Sweden,Red,False,Flyweight,MALE,3,0,32.0,0.37,0.5,1.5,0.38,0,5,0,0,0,1,1,0,0,2,Orthodox,170.18,175.26,125,0,53.5,0.41,0.0,1.0,0.5,1,6,0,0,0,1,0,0,0,1,Orthodox,162.56,162.56,125,35,29,0,1,1,1,1,-1,0,1,0,7.62,12.7,6,-21.5,0.5,0.5,neither,U-DEC,blank,3.0,5:00,900.0,0
Conor McGregor,Dennis Siver,1/18/2015,"Boston, Massachusetts, USA",USA,Red,False,Featherweight,MALE,5,0,39.56,0.34,0.22,0.72,0.31,7,42,0,0,0,6,3,2,0,11,Orthodox,167.64,177.8,145,0,25.25,0.4,0.0,1.25,0.45,0,6,0,0,0,1,3,0,0,4,Southpaw,175.26,187.96,155,26,36,0,-3,0,7,-7,36,0,0,2,-7.62,-10.16,-10,14.31,0.22,-0.53,Red,KO/TKO,Punch,2.0,1:54,414.0,10
Donald Cerrone,Benson Henderson,1/18/2015,"Boston, Massachusetts, USA",USA,Red,False,Lightweight,MALE,3,0,54.27,0.46,0.82,2.36,0.46,2,40,5,0,3,5,0,1,0,9,Southpaw,175.26,177.8,170,0,43.25,0.48,0.44,0.75,0.32,3,33,0,0,0,5,4,4,0,13,Orthodox,185.42,185.42,155,31,31,-1,-6,1,-4,1,7,5,-4,-3,-10.16,-7.62,0,11.02,0.38,1.61,Red,U-DEC,blank,3.0,5:00,900.0,-15
Uriah Hall,Ron Stallings,1/18/2015,"Boston, Massachusetts, USA",USA,Red,False,Middleweight,MALE,3,0,26.31,0.44,0.5,1.25,0.31,0,0,0,0,0,0,0,0,0,0,Southpaw,187.96,190.5,170,0,36.75,0.51,0.25,1.25,0.48,2,10,1,0,0,1,0,0,1,2,Orthodox,182.88,200.66,185,30,31,0,-2,-2,-2,2,-10,-1,-1,0,5.08,-10.16,-1,-36.75,-0.25,-1.25,neither,KO/TKO,blank,1.0,3:37,217.0,15
Norman Parke,Gleison Tibau,1/18/2015,"Boston, Massachusetts, USA",USA,Blue,False,Lightweight,MALE,3,0,22.96,0.36,0.7,3.48,0.54,8,58,0,0,4,6,1,4,0,15,Southpaw,177.8,180.34,155,0,52.4,0.39,0.0,2.2,0.56,1,14,1,0,0,3,1,0,0,4,Southpaw,180.34,177.8,155,28,31,0,1,0,11,-7,44,-1,0,4,-2.54,2.54,-3,-29.44,0.7,1.28,neither,S-DEC,blank,3.0,5:00,900.0,0
Cathal Pendred,Sean Spencer,1/18/2015,"Boston, Massachusetts, USA",USA,Red,False,Welterweight,MALE,3,0,67.4,0.32,0.0,0.2,0.1,2,15,0,0,1,2,0,0,0,3,Southpaw,177.8,190.5,170,0,33.0,0.4,0.5,2.0,0.34,0,5,0,0,1,0,0,1,0,2,Orthodox,185.42,190.5,170,27,27,0,-1,0,1,-2,10,0,0,-1,-7.62,0.0,0,34.4,-0.5,-1.8,neither,U-DEC,blank,3.0,5:00,900.0,0
John Howard,Lorenz Larkin,1/18/2015,"Boston, Massachusetts, USA",USA,Blue,False,Welterweight,MALE,3,0,30.6,0.43,0.0,0.0,0.0,4,13,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,0,26.45,0.56,0.45,2.55,0.49,5,31,0,0,3,1,2,0,0,6,Orthodox,170.18,180.34,170,31,28,-1,0,-3,-5,1,-18,0,-2,0,10.16,2.54,3,4.15,-0.45,-2.55,neither,KO/TKO,Punch,1.0,2:17,137.0,0
Zhang Lipeng,Chris Wade,1/18/2015,"Boston, Massachusetts, USA",USA,Blue,False,Lightweight,MALE,3,0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,155,0,14.5,0.43,1.5,3.0,0.45,0,6,1,0,1,1,0,0,0,2,Southpaw,180.34,180.34,155,24,27,0,-1,-1,-1,0,-5,-1,0,1,-2.54,-2.54,-3,-14.5,-0.5,-2.0,neither,DQ,blank,1.0,5:00,300.0,0
