R_fighter,B_fighter,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,weight_dif
Julia Avila,Pannie Kianzad,7/6/2019,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,0,4.03,0.41,0.4,0.4,0.2,1,2,0,0,0,0,0,0,0,0,Orthodox,170.18,167.64,135,0,3.27,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,135,31,27,-1,0,0,0,-1,2,0,0,0,0.0,-5.08,4,0.76,0.4,0.4,neither,U-DEC,blank,3.0,5:00,900.0,0
Corey Anderson,Jan Blachowicz,2/15/2020,"Rio Rancho, New Mexico, USA",USA,Blue,False,Light Heavyweight,MALE,5,0,3.44,0.49,0.3,1.18,0.52,5,36,0,0,1,3,2,2,0,8,Orthodox,187.96,198.12,205,0,4.45,0.46,0.0,4.98,0.5,4,35,0,0,0,7,3,0,0,10,Orthodox,190.5,200.66,205,30,36,0,-2,0,-2,-1,1,0,-1,2,-2.54,-2.54,-6,-1.01,0.3,-3.8,Red,KO/TKO,Punch,1.0,3:08,188.0,0
Diego Sanchez,Michel Pereira,2/15/2020,"Rio Rancho, New Mexico, USA",USA,Red,False,Welterweight,MALE,3,0,2.26,0.44,0.0,1.79,0.4,1,4,0,0,0,0,1,0,0,1,Orthodox,185.42,185.42,170,0,2.75,0.38,0.9,1.62,0.25,12,83,1,0,3,10,6,2,0,21,Southpaw,177.8,182.88,170,38,26,0,0,-8,-20,11,-79,-1,-5,-2,7.62,2.54,12,-0.49,-0.9,0.17,neither,DQ,blank,3.0,3:09,789.0,0
Montana De La Rosa,Mara Romero Borella,2/15/2020,"Rio Rancho, New Mexico, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,2.98,0.35,0.3,1.68,0.41,1,10,0,0,1,0,0,1,0,2,Orthodox,167.64,175.26,125,0,2.49,0.31,2.3,2.69,0.33,1,9,0,0,0,0,0,3,0,3,Orthodox,170.18,172.72,125,25,33,0,0,-3,-1,0,1,0,0,-2,-2.54,2.54,-8,0.49,-2.0,-1.01,Red,U-DEC,blank,3.0,5:00,900.0,0
Brok Weaver,Kazula Vargas,2/15/2020,"Rio Rancho, New Mexico, USA",USA,Red,False,Lightweight,MALE,3,0,1.33,0.47,0.0,0.0,0.0,1,3,0,0,0,0,0,0,0,0,Southpaw,172.72,180.34,155,0,6.73,0.74,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,170,28,34,-1,0,0,0,-1,3,0,0,0,-10.16,-5.08,-6,-5.4,0.0,0.0,neither,DQ,blank,1.0,4:02,242.0,15
Rogerio Bontorin,Ray Borg,2/15/2020,"Rio Rancho, New Mexico, USA",USA,Blue,False,Flyweight,MALE,3,0,1.26,0.49,1.2,3.66,0.5,4,30,1,0,0,4,0,2,0,6,Orthodox,162.56,160.02,135,0,3.23,0.52,1.6,2.72,0.41,0,4,0,0,1,0,1,0,0,2,Orthodox,165.1,170.18,125,27,26,0,-1,1,4,-4,26,1,-1,2,-2.54,-10.16,1,-1.97,-0.4,0.94,Red,U-DEC,blank,3.0,5:00,900.0,-10
Lando Vannata,Yancy Medeiros,2/15/2020,"Rio Rancho, New Mexico, USA",USA,Red,False,Lightweight,MALE,3,0,3.99,0.35,0.6,0.14,0.33,6,28,0,0,1,1,3,3,0,8,Orthodox,177.8,190.5,155,2,4.41,0.42,0.5,1.35,0.42,4,19,0,0,0,0,1,1,0,2,Orthodox,175.26,180.34,155,27,32,-1,0,2,6,-2,9,0,2,2,2.54,10.16,-5,-0.42,0.1,-1.21,neither,U-DEC,blank,3.0,5:00,900.0,0
Tim Means,Daniel Rodriguez,2/15/2020,"Rio Rancho, New Mexico, USA",USA,Blue,False,Welterweight,MALE,3,0,7.2,0.48,0.0,4.0,0.8,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,190.5,170,0,4.87,0.45,0.2,0.87,0.45,8,43,0,0,1,3,5,2,0,11,Orthodox,187.96,190.5,170,35,33,0,-1,-4,-11,8,-43,0,-5,-2,-2.54,0.0,2,2.33,-0.2,3.13,neither,SUB,Guillotine Choke,2.0,3:37,517.0,0
John Dodson,Nathaniel Wood,2/15/2020,"Rio Rancho, New Mexico, USA",USA,Red,False,Bantamweight,MALE,3,0,4.24,0.42,2.0,2.05,0.66,0,7,0,0,0,0,0,3,0,3,Orthodox,167.64,175.26,135,0,3.28,0.4,0.0,0.8,0.28,6,43,2,0,1,3,5,0,0,9,Orthodox,160.02,167.64,135,35,26,2,3,0,-6,6,-36,-2,-5,3,7.62,7.62,9,0.96,2.0,1.25,Red,KO/TKO,Punch,3.0,0:16,616.0,0
Jim Miller,Scott Holtzman,2/15/2020,"Rio Rancho, New Mexico, USA",USA,Blue,False,Lightweight,MALE,3,0,4.36,0.5,0.2,2.37,0.58,3,26,0,0,0,3,2,1,0,6,Orthodox,175.26,175.26,155,0,2.78,0.4,2.0,1.77,0.42,12,73,0,0,2,6,3,9,0,20,Southpaw,172.72,180.34,155,36,36,0,-1,-4,-14,9,-47,0,-1,-8,2.54,-5.08,0,1.58,-1.8,0.6,neither,U-DEC,blank,3.0,5:00,900.0,0
